iter	Passed	Remaining
402	10149	15035
403	10173	15008
404	10195	14978
405	10225	14960
406	10248	14932
407	10270	14902
408	10294	14876
409	10317	14847
410	10354	14839
411	10394	14834
412	10417	14807
413	10462	14808
414	10492	14791
415	10527	14778
416	10550	14750
417	10583	14735
418	10607	14708
419	10629	14679
420	10651	14648
421	10688	14640
422	10721	14624
423	10758	14615
424	10795	14606
425	10840	14607
426	10871	14588
427	10897	14564
428	10934	14553
429	10958	14526
430	10984	14501
431	11012	14480
432	11041	14457
433	11071	14438
434	11101	14419
435	11128	14395
436	11150	14365
437	11171	14334
438	11195	14306
439	11230	14293
440	11271	14287
441	11308	14276
442	11334	14251
443	11361	14227
444	11384	14198
445	11411	14174
446	11450	14165
447	11474	14138
448	11496	14108
449	11533	14096
450	11556	14068
451	11578	14037
452	11601	14008
453	11622	13977
454	11644	13947
455	11666	13918
456	11688	13887
457	11710	13857
458	11732	13827
459	11764	13810
460	11789	13783
461	11811	13754
462	11832	13723
463	11854	13693
464	11876	13664
465	11898	13634
466	11919	13603
467	11941	13574
468	11962	13544
469	11997	13529
470	12020	13500
471	12041	13470
472	12063	13440
473	12085	13410
474	12106	13380
475	12128	13351
476	12149	13321
477	12171	13291
478	12192	13261
479	12223	13241
480	12245	13213
481	12268	13185
482	12291	13156
483	12314	13129
484	12335	13098
485	12358	13070
486	12379	13040
487	12401	13011
488	12425	12984
489	12455	12963
490	12478	12935
491	12499	12906
492	12520	12876
493	12542	12847
494	12565	12818
495	12586	12789
496	12608	12760
497	12630	12731
498	12662	12713
499	12685	12685
500	12706	12655
501	12729	12627
502	12753	12601
503	12778	12575
504	12815	12561
505	12847	12542
506	12874	12518
507	12916	12509
508	12962	12504
509	12994	12484
510	13023	12463
511	13047	12436
512	13095	12431
513	13128	12412
514	13152	12386
515	13175	12358
516	13199	12331
517	13223	12304
518	13248	12278
519	13272	12251
520	13303	12231
521	13328	12204
522	13352	12177
523	13375	12150
524	13398	12122
525	13421	12094
526	13443	12065
527	13464	12036
528	13486	12007
529	13507	11978
530	13541	11960
531	13574	11941
532	13597	11913
533	13620	11886
534	13643	11858
535	13671	11834
536	13695	11808
537	13718	11780
538	13740	11751
539	13765	11726
540	13792	11701
541	13814	11673
542	13838	11647
543	13867	11624
544	13890	11596
545	13912	11568
546	13934	11539
547	13957	11512
548	13984	11487
549	14014	11466
550	14037	11438
551	14060	11411
552	14082	11383
553	14104	11354
554	14125	11325
555	14147	11297
556	14168	11268
557	14198	11247
558	14224	11221
559	14246	11193
560	14269	11166
561	14290	11137
562	14312	11109
