iter	Logloss
0	0.6192864461
1	0.5573137711
2	0.5039339438
3	0.4593800206
4	0.4211087482
5	0.3889573151
6	0.3617110267
7	0.3391586054
8	0.3186058652
9	0.3009418715
10	0.286728513
11	0.2749595133
12	0.2643269247
13	0.2550423469
14	0.2469829
15	0.2411982886
16	0.2355571544
17	0.2310268313
18	0.2269663961
19	0.2228573423
20	0.2195190698
21	0.2166668155
22	0.2138558147
23	0.2115698798
24	0.2092289553
25	0.2073314102
26	0.2056450643
27	0.204005433
28	0.2028412111
29	0.2018054115
30	0.2009241817
31	0.1998154882
32	0.1990556051
33	0.1982663563
34	0.1977138918
35	0.1969832123
36	0.1963308095
37	0.195738043
38	0.1952565979
39	0.1948341396
40	0.1942959977
41	0.1940315685
42	0.193605851
43	0.1931832872
44	0.1927910831
45	0.1923917042
46	0.1920232576
47	0.1917609142
48	0.1915352661
49	0.1912133346
50	0.1910295845
51	0.1907502493
52	0.1904982666
53	0.1902656505
54	0.1900394827
55	0.1898573423
56	0.1896951746
57	0.1895253176
58	0.1893517049
59	0.1891892652
60	0.1890995482
61	0.1889863483
62	0.1888753453
63	0.1887492196
64	0.188639908
65	0.1884683673
66	0.1883804298
67	0.1882066908
68	0.1880830806
69	0.187997003
70	0.1879042273
71	0.1878301152
72	0.1877380404
73	0.1876093563
74	0.1875344331
75	0.1874442525
76	0.1873528056
77	0.1872955152
78	0.1871868572
79	0.1870989907
80	0.1870617062
81	0.1870084342
82	0.1869186465
83	0.186842794
84	0.1867559172
85	0.1867426387
86	0.1866709697
87	0.1866057124
88	0.1865591813
89	0.186459416
90	0.1863841628
91	0.1863061168
92	0.1862796993
93	0.186208301
94	0.1861774692
95	0.1861065621
96	0.1860705552
97	0.1860327309
98	0.1859878768
99	0.185944413
100	0.1858519679
101	0.1858310237
102	0.1857874987
103	0.1857634747
104	0.185721611
105	0.1856927361
106	0.1856403245
107	0.1855826143
108	0.1855061464
109	0.1854707305
110	0.1854085579
111	0.185322866
112	0.185289913
113	0.1852412288
114	0.1851610815
115	0.1850647087
116	0.1850072894
117	0.184920978
118	0.1848509158
119	0.1848009113
120	0.1847267078
121	0.1847084003
122	0.1846377392
123	0.1845885097
124	0.1845682212
125	0.1845281697
126	0.1844824431
127	0.1844640352
128	0.1844275525
129	0.1843670861
130	0.1843304074
131	0.1842937493
132	0.1842439566
133	0.1841651475
134	0.1840987058
135	0.1840575122
136	0.1840158597
137	0.1839956828
138	0.1839485583
139	0.1839093153
140	0.1838884446
141	0.183861405
142	0.1838467628
143	0.1837962266
144	0.1837665681
145	0.1837132206
146	0.1836629638
147	0.1836330616
148	0.1835839079
149	0.183479168
150	0.1834307578
151	0.1833760311
152	0.1833487737
153	0.1832966572
154	0.1832766597
155	0.1832248875
156	0.1831644787
157	0.1831009067
158	0.1830573547
159	0.1830273704
160	0.183008956
161	0.1829838175
162	0.1829367781
163	0.1829128184
164	0.182870419
165	0.1828576968
166	0.1828070648
167	0.1827928762
168	0.1827657182
169	0.1827525277
